Feature_ID	mz	rt
1	56.05046402	0.531704488
2	56.05050978	5.625426833
3	59.05007953	0.601643858
4	60.04539374	3.6342978
5	61.04060715	0.45249222
6	62.0438389	0.45407373
7	62.06092545	0.43509472
8	64.01674109	5.9570114
9	64.0167433	5.578119833
10	64.01672773	0.37654424
11	64.01674515	5.132721117
12	64.01674482	4.925276483
13	64.01674493	4.684746117
14	64.01673824	4.3258079
15	65.02003933	0.377493333
16	67.51079762	0.336519738
17	70.01341107	0.335927283
18	70.06599067	0.465613317
19	72.08162812	0.588226967
20	72.08166933	5.592268567
21	72.08166962	5.920979067
22	72.0816718	5.3032341
23	73.06561908	1.0597168
24	74.06086838	0.520515117
25	74.06088284	5.701261333
26	74.06088655	5.241829033
27	74.09722	0.501281293
28	74.09727915	2.417321633
29	74.97612325	0.336887433
30	75.0448203	0.475210507
31	75.06413743	0.51332456
32	76.04010186	0.49974735
33	76.07650136	0.444165343
34	76.51598189	0.337138125
35	77.06045852	0.574480888
36	78.03214335	0.372871663
37	79.01868404	0.334795613
38	79.02196174	0.59253406
39	79.99048255	0.38564911
40	79.99054496	5.123334733
41	80.94864534	0.406691117
42	81.04558896	5.5403303
43	81.50810119	0.336521713
44	81.52128633	0.334591797
45	82.02704709	0.37673244
46	82.05338663	5.796038133
47	82.94565109	0.40278549
48	83.02235591	0.418704952
49	83.06114494	0.042919246
50	83.06116764	2.548482033
51	83.06116432	2.789128733
52	83.06117447	3.6342978
53	83.06118238	5.580612367
54	83.06117713	3.1976499
55	83.06117645	5.919212533
56	84.06445043	0.03494039
57	84.06445088	2.5207372
58	84.06445118	2.105683433
59	84.06445654	3.625124467
60	84.06445835	3.159774133
61	84.06445059	2.790888233
62	84.96043227	0.33613949
63	86.09714403	1.0321902
64	87.04475599	0.989043732
65	87.04474825	1.83087255
66	87.09240913	5.603239583
67	87.10043738	1.051231467
68	88.02389039	0.336661723
69	90.05565458	0.434729163
70	90.51336744	0.336748723
71	90.52656555	0.330741997
72	90.52651941	1.934304667
73	90.97734294	0.376948182
74	90.97734476	4.913853467
75	91.02821335	0.336801733
76	91.03958364	0.61183388
77	91.98061811	0.375929003
78	92.52297031	0.336979683
79	92.98652665	0.337870543
80	93.01600049	0.336887433
81	93.05522892	0.472213683
82	95.06105883	5.744098783
83	96.92240317	0.40035444
84	97.07664656	5.596908933
85	97.99190192	0.336517763
86	98.07192303	5.558839233
87	98.07191733	5.88603485
88	98.5126027	0.037697078
89	98.9194849	0.397370505
90	98.9847145	0.482517267
91	98.9960776	0.416705667
92	99.05593549	5.795967633
