	origin	Formula	Neutral_mass	mz	md	inclusion
HMDB01453	Endogenous	CNS	57.9751447	56.9678681	0.9678681	y
HMDB31453	Endogenous	CO3	59.98474387	58.97746727	0.97746727	y
HMDB00595	Endogenous	CHO3	60.9925689	59.9852923	0.9852923	y
HMDB02179	Endogenous	NO3	61.98781787	60.98054127	0.98054127	y
HMDB02878	Endogenous	NO3	61.98781787	60.98054127	0.98054127	y
HMDB02077	Endogenous	ClO2	66.95868195	65.95140535	0.95140535	y
HMDB12974	Endogenous	CHNOS	74.97788435	73.97060775	0.97060775	y
HMDB01443	Endogenous	O3P	78.95850538	77.95122878	0.95122878	y
HMDB00240	Endogenous	O3S	79.95681456	78.94953796	0.94953796	y
HMDB01033	Endogenous	HO3S	80.96463959	79.95736299	0.95736299	y
HMDB11110	Endogenous	H2Se	81.93217189	80.92489529	0.92489529	y
HMDB02036	Endogenous	ClO3	82.95359657	81.94631997	0.94631997	y
HMDB31548	Endogenous	CH2Cl2	83.95335548	82.94607888	0.94607888	y
HMDB12916	Endogenous	CH2NO2S	91.980624	90.9733474	0.9733474	y
HMDB31524	Endogenous	CH3Br	93.94181274	92.93453614	0.93453614	y
HMDB31331	Endogenous	C2H3ClO2	93.98215705	92.97488045	0.97488045	y
HMDB05879	Endogenous	C2H6S2	93.99109157	92.98381497	0.98381497	y
HMDB31707	Endogenous	C2H6S2	93.99109157	92.98381497	0.98381497	y
HMDB32253	Endogenous	C2H6S2	93.99109157	92.98381497	0.98381497	y
HMDB32428	Endogenous	C2H6S2	93.99109157	92.98381497	0.98381497	y
HMDB01448	Endogenous	O4S	95.95172918	94.94445258	0.94445258	y
HMDB00973	Endogenous	HO4P	95.96124503	94.95396843	0.95396843	y
HMDB31436	Endogenous	H4O4Si	95.98788515	94.98060855	0.98060855	y
HMDB29571	Endogenous	C2H4Cl2	97.96900554	96.96172894	0.96172894	y
HMDB02142	Endogenous	H3O4P	97.9768951	96.9696185	0.9696185	y
HMDB00257	Endogenous	O3S2	111.9288852	110.9216086	0.9216086	y
HMDB29720	Endogenous	C4H4S2	115.9754415	114.9681649	0.9681649	y
HMDB29596	Endogenous	CHCl3	117.9143832	116.9071066	0.9071066	y
HMDB31522	Endogenous	C3H2O5	117.9902232	116.9829466	0.9829466	y
HMDB01417	Endogenous	MnO4	118.9177081	117.9104315	0.9104315	y
HMDB29570	Endogenous	CCl2F2	119.9345118	118.9272352	0.9272352	y
HMDB01368	Endogenous	C3H4O3S	119.9881147	118.9808381	0.9808381	y
HMDB42052	Endogenous	C3H9Se	124.9869471	123.9796705	0.9796705	y
HMDB13780	Endogenous	C2H6S3	125.9631623	124.9558857	0.9558857	y
HMDB31832	Endogenous	C2H6O2S2	125.9809208	124.9736442	0.9736442	y
HMDB11119	Endogenous	O3Se	127.9012657	126.8939891	0.8939891	y
HMDB31853	Endogenous	C5H6S2	129.9910916	128.983815	0.983815	y
HMDB30878	Endogenous	C4H8Se	135.9791221	134.9718455	0.9718455	y
HMDB29716	Endogenous	C6H4S2	139.9754415	138.9681649	0.9681649	y
HMDB31875	Endogenous	C3H8S3	139.9788123	138.9715357	0.9715357	y
HMDB01494	Endogenous	C2H5O5P	139.9874598	138.9801832	0.9801832	y
HMDB04110	Endogenous	C2H5O5P	139.9874598	138.9801832	0.9801832	y
HMDB01096	Endogenous	CH4NO5P	140.9827088	139.9754322	0.9754322	y
HMDB30879	Endogenous	C2H6SSe	141.9355427	140.9282661	0.9282661	y
HMDB41796	Endogenous	C2H3Cl3O	147.9249478	146.9176712	0.9176712	y
HMDB29611	Endogenous	C4H6O2S2	149.9809208	148.9736442	0.9736442	y
HMDB01405	Endogenous	C3H3O5S	150.9701189	149.9628423	0.9628423	y
HMDB31330	Endogenous	CCl4	151.8754108	150.8681342	0.8681342	y
HMDB02332	Endogenous	C3H4O5S	151.9779439	150.9706673	0.9706673	y
HMDB31470	Endogenous	C4H8S3	151.9788123	150.9715357	0.9715357	y
HMDB03585	Endogenous	C3H7NO2S2	152.9918199	151.9845433	0.9845433	y
HMDB31333	Endogenous	C2ClF5	153.9608687	152.9535921	0.9535921	y
HMDB31185	Endogenous	C2H4S4	155.9195829	154.9123063	0.9123063	y
HMDB00816	Endogenous	C2H5O6P	155.9823744	154.9750978	0.9750978	y
HMDB32554	Endogenous	C4H5Cl3	157.9456833	156.9384067	0.9384067	y
HMDB06407	Endogenous	H2O3PSe	160.8906773	159.8834007	0.8834007	y
HMDB03840	Endogenous	H3O3PSe	161.8985023	160.8912257	0.8912257	y
HMDB42048	Endogenous	C2HCl3O2	161.9042124	160.8969358	0.8969358	y
HMDB41805	Endogenous	C4H5NO2S2	162.9761698	161.9688932	0.9688932	y
HMDB12260	Endogenous	H2MoO4	163.9007164	162.8934398	0.8934398	y
HMDB31151	Endogenous	C4HCl2NO2	164.9384337	163.9311571	0.9311571	y
HMDB29612	Endogenous	C4H6O3S2	165.9758354	164.9685588	0.9685588	y
HMDB30524	Endogenous	C7H5NS2	166.9863405	165.9790639	0.9790639	y
HMDB30877	Endogenous	C4H8SSe	167.9511928	166.9439162	0.9439162	y
HMDB30880	Endogenous	C4H8SSe	167.9511928	166.9439162	0.9439162	y
HMDB04045	Endogenous	C3H4O6S	167.9728586	166.965582	0.965582	y
HMDB00263	Endogenous	C3H5O6P	167.9823744	166.9750978	0.9750978	y
HMDB03288	Endogenous	C3H7NO2Se	168.9642003	167.9569237	0.9569237	y
HMDB31719	Endogenous	C3H6S4	169.935233	168.9279564	0.9279564	y
HMDB32059	Endogenous	C6H5BrO	171.9523774	170.9451008	0.9451008	y
HMDB30876	Endogenous	C2H6S2Se	173.9076134	172.9003368	0.9003368	y
HMDB00250	Endogenous	O7P2	173.9119254	172.9046488	0.9046488	y
HMDB01061	Endogenous	IO3	174.8892123	173.8819357	0.8819357	y
HMDB32124	Endogenous	C5H10OS3	181.989377	180.9821004	0.9821004	y
HMDB04113	Endogenous	C4H9NO2Se	182.9798504	181.9725738	0.9725738	y
HMDB04119	Endogenous	C4H9NO2Se	182.9798504	181.9725738	0.9725738	y
HMDB31466	Endogenous	C4H9NO2Se	182.9798504	181.9725738	0.9725738	y
HMDB01024	Endogenous	C3H5O7P	183.977289	182.9700124	0.9700124	y
HMDB31155	Endogenous	C2Cl3F3	185.9017677	184.8944911	0.8944911	y
HMDB31258	Endogenous	C2H4S5	187.8916536	186.884377	0.884377	y
HMDB31252	Endogenous	C3H5IO2	199.9334228	198.9261462	0.9261462	y
HMDB31292	Endogenous	C4F8	199.9872256	198.979949	0.979949	y
HMDB00731	Endogenous	C3H7NO5S2	200.9765637	199.9692871	0.9692871	y
HMDB29643	Endogenous	C7H5Cl3O	209.9405979	208.9333213	0.9333213	y
HMDB32287	Endogenous	C6FeN6	211.9533862	210.9461096	0.9461096	y
HMDB06801	Endogenous	C4H7O8P	213.9878537	212.9805771	0.9805771	y
HMDB11725	Endogenous	C7H6O6S	217.9885086	216.981232	0.981232	y
HMDB41797	Endogenous	C8H6Cl2O3	219.9693995	218.9621229	0.9621229	y
HMDB29627	Endogenous	C7H4Cl4O	243.9016256	242.894349	0.894349	y
HMDB32079	Endogenous	C6H4Br2O	249.86289	248.8556134	0.8556134	y
HMDB32080	Endogenous	C6H4Br2O	249.86289	248.8556134	0.8556134	y
HMDB03379	Endogenous	O10P3	252.8704308	251.8631542	0.8631542	y
HMDB31980	Endogenous	CH5NO2S6	254.8644525	253.8571759	0.8571759	y
HMDB31224	Endogenous	C4H6N2Na2S4	255.9209203	254.9136437	0.9136437	y
HMDB12282	Endogenous	H5O10P3	257.9095559	256.9022793	0.9022793	y
HMDB05874	Endogenous	C9H10BrNO3	258.9844058	257.9771292	0.9771292	y
HMDB31489	Endogenous	C3Cl6O	261.8080309	260.8007543	0.8007543	y
HMDB01270	Endogenous	C3H8O10P2	265.9592695	264.9519929	0.9519929	y
HMDB01294	Endogenous	C3H8O10P2	265.9592695	264.9519929	0.9519929	y
HMDB29807	Endogenous	C3H12NO9P3	298.9724905	297.9652139	0.9652139	y
HMDB00021	Endogenous	C9H10INO3	306.9705366	305.96326	0.96326	y
HMDB11688	Endogenous	C5H12O11P2	309.9854843	308.9782077	0.9782077	y
HMDB29845	Endogenous	C6H4Na2O8S2	313.9142978	312.9070212	0.9070212	y
HMDB42049	Endogenous	C8H11Cl3O7	323.9570358	322.9497592	0.9497592	y
HMDB29642	Endogenous	C6H3Br3O	327.7734027	326.7661261	0.7661261	y
HMDB04122	Endogenous	C6H12N2O4Se2	335.9127505	334.9054739	0.9054739	y
HMDB31592	Endogenous	C13H8O11S	371.9787318	370.9714552	0.9714552	y
HMDB00280	Endogenous	C5H13O14P3	389.9518147	388.9445381	0.9445381	y
HMDB01143	Endogenous	C6H15O15P3	419.9623793	418.9551027	0.9551027	y
HMDB01498	Endogenous	C6H15O15P3	419.9623793	418.9551027	0.9551027	y
HMDB03474	Endogenous	C9H9I2NO3	432.86718	431.8599034	0.8599034	y
HMDB00998	Endogenous	C9H16N3O13P3	466.9895971	465.9823205	0.9823205	y
HMDB01191	Endogenous	C9H15N2O14P3	467.9736127	466.9663361	0.9663361	y
HMDB04112	Endogenous	C10H14N5O10PSe	474.96435	473.9570734	0.9570734	y
HMDB01342	Endogenous	C10H17N2O14P3	481.9892628	480.9819862	0.9819862	y
HMDB00082	Endogenous	C9H16N3O14P3	482.9845118	481.9772352	0.9772352	y
HMDB00285	Endogenous	C9H15N2O15P3	483.9685274	482.9612508	0.9612508	y
HMDB03537	Endogenous	C10H15N4O13P3	491.9848461	490.9775695	0.9775695	y
HMDB01059	Endogenous	C6H16O18P4	499.9287098	498.9214332	0.9214332	y
HMDB01187	Endogenous	C6H16O18P4	499.9287098	498.9214332	0.9214332	y
HMDB03848	Endogenous	C6H16O18P4	499.9287098	498.9214332	0.9214332	y
HMDB04527	Endogenous	C6H16O18P4	499.9287098	498.9214332	0.9214332	y
HMDB01134	Endogenous	C10H15N5O13P2S	506.9862293	505.9789527	0.9789527	y
HMDB00189	Endogenous	C10H15N4O14P3	507.9797607	506.9724841	0.9724841	y
HMDB02206	Endogenous	C10H12MoN5O8PS2	522.8918981	521.8846215	0.8846215	y
HMDB01273	Endogenous	C10H16N5O14P3	522.9906598	521.9833832	0.9833832	y
HMDB11615	Endogenous	C10H16N5O14P3	522.9906598	521.9833832	0.9833832	y
HMDB00293	Endogenous	C10H15N4O15P3	523.9746754	522.9673988	0.9673988	y
HMDB00582	Endogenous	C15H13I2NO4	524.8933947	523.8861181	0.8861181	y
HMDB05869	Endogenous	C15H13I2NO4	524.8933947	523.8861181	0.8861181	y
HMDB29855	Endogenous	C20H14N2O10S3	537.9810567	536.9737801	0.9737801	y
HMDB12261	Endogenous	C10H12MoN5O7PS3	538.8690542	537.8617776	0.8617776	y
